Anděl
banka
Batalion
Bedna od whisky 
Bláznova ukolébavka
Dej mi víc své lásky 
Demons
Děti ráje 
Dlažební kostka 
Dvě spálený srdce
Gastrosexuál
Gorale
Hlídač krav
Hvězdář 
Chci ti říct
Indiánská ukolébavka (Watanay)
Jdem zpátky do lesů
Jelen
Jericho
Karavana Mraků
Když mě brali za vojáka
Knockin' On Heaven's Door
Kometa
Kozel
Kurtizána 
Magdaléna
Magdaléna 
Malování
Mám jizvu na rtu
Marie 
Mimorealita
Montgomery
Morituri Te Saluntant
Nám se stalo něco překrásného 
Nina
Pohár a kalich
První Signální
Ráda se miluje
Radioactive
Rána z trávy
Síla starejch vín 
Slavicí z Madridu 
Studený nohy
Světlo ve tmě
Tři čuníci
Tulacky ráno
Včelín
